Company_Name,Rating,Industry_Type,Headquater_other_Locations,Total Reviews,AvgSalaries,Total_Interviews,Total_Jobs,Total_Benifits,Total_Photos
TCS,3.7,IT Services & Consulting,Bangalore / Bengaluru +383 other locations,87.3k,8.6L,10.4k,216,11.9k,87
Accenture,3.9,IT Services & Consulting,Bangalore / Bengaluru +198 other locations,54.8k,5.8L,8.2k,20k,7.3k,39
Wipro,3.7,IT Services & Consulting,Bangalore / Bengaluru +341 other locations,51.8k,4.5L,5.6k,851,5.3k,91
Cognizant,3.8,IT Services & Consulting,Chennai +193 other locations,48.9k,5.6L,5.6k,320,6k,73
Capgemini,3.7,IT Services & Consulting,Bangalore / Bengaluru +160 other locations,40.5k,4.3L,4.8k,1.4k,4.2k,39
HDFC Bank,3.9,Banking,Mumbai +1643 other locations,38.7k,1.4L,2.1k,233,3.3k,40
Infosys,3.6,IT Services & Consulting,Bangalore / Bengaluru +205 other locations,38.1k,4.7L,7.6k,2.4k,5.3k,115
ICICI Bank,4.0,Banking,Mumbai +1338 other locations,37.6k,1.5L,2.4k,1,3.8k,60
HCLTech,3.5,IT Services & Consulting,Chennai +202 other locations,35.2k,3.2L,3.8k,189,4.2k,47
Tech Mahindra,3.5,IT Services & Consulting,Hyderabad / Secunderabad +288 other locations,34.3k,2.6L,3.8k,479,3.7k,65
Genpact,3.8,IT Services & Consulting,Hyderabad / Secunderabad +135 other locations,30.8k,2L,3.1k,661,3.8k,50
Teleperformance,3.9,BPO,Mumbai +206 other locations,28.6k,90.2k,1.7k,287,2.2k,31
Concentrix Corporation,3.8,BPO,Bangalore / Bengaluru +141 other locations,25.8k,1.2L,1.6k,143,3.4k,57
Axis Bank,3.8,Banking,Mumbai +1374 other locations,25k,98.5k,1.5k,150,2.2k,82
Amazon,4.1,Internet,Bangalore / Bengaluru +460 other locations,24.6k,1.2L,5k,1.6k,4.4k,83
Jio,3.9,Unknown,Mumbai +1206 other locations,22.1k,62.6k,1.6k,122,2.7k,66
Reliance Retail,3.9,Retail,Mumbai +1048 other locations,21.9k,66.4k,1.5k,61,2k,122
iEnergizer,4.6,BPO,Noida +39 other locations,21.9k,22.4k,564,143,563,26
IBM,4.0,IT Services & Consulting,Bangalore / Bengaluru +156 other locations,21.7k,2L,2.4k,948,2.8k,23
LTIMindtree,3.8,IT Services & Consulting,Bangalore / Bengaluru +127 other locations,20.4k,1.7L,3k,118,1.3k,34
HDB Financial Services,4.0,NBFC,Mumbai +995 other locations,20k,49.4k,790,124,1.6k,48
Larsen & Toubro Limited,4.0,Engineering & Construction,Chennai +663 other locations,18.3k,69.1k,1.4k,193,2.9k,52
Deloitte,3.8,Management Consulting,Hyderabad / Secunderabad +160 other locations,17.3k,1.8L,2.8k,478,2.6k,23
Kotak Mahindra Bank,3.8,Banking,Mumbai +617 other locations,16.3k,81.7k,1k,35,1.3k,36
BYJU'S,3.1,EdTech,Bangalore / Bengaluru +310 other locations,16k,59k,2.2k,1,1.9k,28
Reliance Industries,4.0,Oil & Gas,Jamnagar +725 other locations,15.6k,67.6k,1.3k,34,2k,36
Vodafone Idea,4.1,Telecom,Pune +662 other locations,15.2k,54k,551,54,2.1k,21
Bharti Airtel,4.0,Telecom,Gurgaon / Gurugram +708 other locations,13.5k,45.6k,830,179,1.7k,91
Tata Motors,4.2,Automobile,Pune +469 other locations,11.7k,41k,993,10,1.8k,38
AU Small Finance Bank,4.3,Banking,Jaipur +694 other locations,11.4k,25.1k,506,78,495,12
WNS,3.4,BPO,Pune +43 other locations,10.8k,56.6k,977,173,1.4k,20
IndusInd Bank,3.5,Banking,Mumbai +726 other locations,10.6k,48.6k,594,941,828,14
Flipkart,4.0,Internet,Bangalore / Bengaluru +525 other locations,10.6k,47.8k,1.4k,129,1.4k,99
Ernst & Young,3.4,Management Consulting,Bangalore / Bengaluru +110 other locations,10.4k,1.2L,1.1k,2k,1.3k,6
IDFC FIRST Bank,4.0,Banking,Mumbai +620 other locations,10.1k,44.4k,628,113,758,33
DXC Technology,3.7,IT Services & Consulting,Bangalore / Bengaluru +104 other locations,9.8k,74.8k,807,175,1.2k,6
