Company_Name,Rating,Industry_Type,Locations,AvgSalaries,Total_Interviews,Total_Jobs,Total_Reviews
TCS,3.7,IT Services & Consulting,Bangalore / Bengaluru +383 other locations,860000,10400,216,87300
Accenture,3.9,IT Services & Consulting,Bangalore / Bengaluru +198 other locations,580000,8200,20000,54800
Wipro,3.7,IT Services & Consulting,Bangalore / Bengaluru +341 other locations,450000,5600,851,51800
Cognizant,3.8,IT Services & Consulting,Chennai +193 other locations,560000,5600,320,48900
Capgemini,3.7,IT Services & Consulting,Bangalore / Bengaluru +160 other locations,430000,4800,1400,40500
HDFC Bank,3.9,Banking,Mumbai +1643 other locations,140000,2100,233,38700
Infosys,3.6,IT Services & Consulting,Bangalore / Bengaluru +205 other locations,470000,7600,2400,38100
ICICI Bank,4,Banking,Mumbai +1338 other locations,150000,2400,1,37600
HCLTech,3.5,IT Services & Consulting,Chennai +202 other locations,320000,3800,189,35200
Tech Mahindra,3.5,IT Services & Consulting,Hyderabad / Secunderabad +288 other locations,260000,3800,479,34300
Genpact,3.8,IT Services & Consulting,Hyderabad / Secunderabad +135 other locations,200000,3100,661,30800
Teleperformance,3.9,BPO,Mumbai +206 other locations,90200,1700,287,28600
Concentrix Corporation,3.8,BPO,Bangalore / Bengaluru +141 other locations,120000,1600,143,25800
Axis Bank,3.8,Banking,Mumbai +1374 other locations,98500,1500,150,25000
Amazon,4.1,Internet,Bangalore / Bengaluru +460 other locations,120000,5000,1600,24600
Jio,3.9,Telecom,Mumbai +1206 other locations,62600,1600,122,22100
Reliance Retail,3.9,Retail,Mumbai +1048 other locations,66400,1500,61,21900
iEnergizer,4.6,BPO,Noida +39 other locations,22400,564,143,21900
IBM,4,IT Services & Consulting,Bangalore / Bengaluru +156 other locations,200000,2400,948,21700
LTIMindtree,3.8,IT Services & Consulting,Bangalore / Bengaluru +127 other locations,170000,3000,118,20400
HDB Financial Services,4,NBFC,Mumbai +995 other locations,49400,790,124,20000
Larsen & Toubro Limited,4,Engineering & Construction,Chennai +663 other locations,69100,1400,193,18300
Deloitte,3.8,Management Consulting,Hyderabad / Secunderabad +160 other locations,180000,2800,478,17300
Kotak Mahindra Bank,3.8,Banking,Mumbai +617 other locations,81700,1000,35,16300
BYJU'S,3.1,EdTech,Bangalore / Bengaluru +310 other locations,59000,2200,1,16000
Reliance Industries,4,Oil & Gas,Jamnagar +725 other locations,67600,1300,34,15600
Vodafone Idea,4.1,Telecom,Pune +662 other locations,54000,551,54,15200
Bharti Airtel,4,Telecom,Gurgaon / Gurugram +708 other locations,45600,830,179,13500
Tata Motors,4.2,Automobile,Pune +469 other locations,41000,993,10,11700
AU Small Finance Bank,4.3,Banking,Jaipur +694 other locations,25100,506,78,11400
WNS,3.4,BPO,Pune +43 other locations,56600,977,173,10800
IndusInd Bank,3.5,Banking,Mumbai +726 other locations,48600,594,941,10600
Flipkart,4,Internet,Bangalore / Bengaluru +525 other locations,47800,1400,129,10600
Ernst & Young,3.4,Management Consulting,Bangalore / Bengaluru +110 other locations,120000,1100,2000,10400
IDFC FIRST Bank,4,Banking,Mumbai +620 other locations,44400,628,113,10100
DXC Technology,3.7,IT Services & Consulting,Bangalore / Bengaluru +104 other locations,74800,807,175,9800
Mahindra & Mahindra,4.1,Automobile,Pune +510 other locations,37500,670,49,9700
Infosys BPM,3.7,BPO,Bangalore / Bengaluru +80 other locations,65800,928,25,9500
Bajaj Finserv,4,Financial Services,Pune +989 other locations,26700,512,20,9000
PwC,3.4,Management Consulting,Bangalore / Bengaluru +107 other locations,88400,1400,1300,8900
HDFC Life,4,Insurance,Mumbai +606 other locations,30800,600,90,8800
Conneqt Business Solutions,3.7,BPO,Hyderabad / Secunderabad +242 other locations,26800,457,109,8600
Mphasis,3.4,IT Services & Consulting,Bangalore / Bengaluru +52 other locations,67300,801,129,8100
Yes Bank,3.7,Banking,Mumbai +480 other locations,42000,419,104,7500
Bandhan Bank,3.7,Banking,Kolkata +856 other locations,22700,530,1,7400
Startek,3.2,IT Services & Consulting,Bangalore / Bengaluru +74 other locations,23200,449,4,7300
Paytm,3.3,FinTech,Noida +348 other locations,32000,769,92,7300
Asian Paints,4,Chemicals,Mumbai +474 other locations,22700,637,39,7300
Maruti Suzuki,4.2,Automobile,Gurgaon / Gurugram +378 other locations,25200,595,432,7100
Quess,3.9,BPO,Bangalore / Bengaluru +614 other locations,28300,397,74,7100
Samsung,4,Consumer Electronics & Appliances,Noida +537 other locations,25800,555,13,7100
Tata Steel,4.1,Iron & Steel,Jamshedpur +199 other locations,29400,830,9,7000
Ericsson,4.1,Telecom,Noida +152 other locations,42000,407,126,7000
Shriram Finance,4.1,NBFC,Chennai +1000 other locations,13600,330,20,7000
EXL Service,3.7,Analytics & KPO,Noida +51 other locations,38700,733,60,6900
HGS,3.9,BPO,Bangalore / Bengaluru +109 other locations,23400,239,10,6800
Muthoot Fincorp,4.5,NBFC,Bangalore / Bengaluru +836 other locations,8300,494,290,6800
UltraTech Cement,4.2,Building Material,Mumbai +457 other locations,22000,542,30,6800
Sutherland Global Services,3.6,IT Services & Consulting,Chennai +65 other locations,30100,616,118,6700
Cipla,4.1,Pharma,Mumbai +253 other locations,24200,474,63,6700
Dr. Reddy's,4.1,Pharma,Hyderabad / Secunderabad +183 other locations,24200,398,20,6700
Bajaj Finance,4,NBFC,Pune +832 other locations,20800,296,24,6500
Wells Fargo,3.9,Financial Services,Bangalore / Bengaluru +22 other locations,49200,563,162,6200
ICICI Prudential Life Insurance,4.1,Insurance,Mumbai +471 other locations,21700,378,41,6100
Amazon Development Centre India,4.1,Internet,Hyderabad / Secunderabad +104 other locations,32000,726,12,6100
Jana Small Finance Bank,3.8,Banking,Bangalore / Bengaluru +371 other locations,14300,244,46,6000
Hindustan Unilever,4.2,FMCG,Mumbai +475 other locations,21300,382,23,6000
Equitas Small Finance Bank,4.5,Banking,Chennai +422 other locations,11900,434,71,6000
Delhivery,3.9,Logistics,Gurgaon / Gurugram +666 other locations,18700,450,67,6000
JPMorgan Chase & Co.,4,Financial Services,Bangalore / Bengaluru +40 other locations,69800,754,674,5900
Lupin,4.2,Pharma,Pune +179 other locations,22300,332,101,5900
Zydus Lifesciences,4.1,Pharma,Ahmedabad +160 other locations,18400,300,25,5900
L&T Construction,4,Engineering & Construction,Chennai +377 other locations,18500,722,17,5900
Hexaware Technologies,3.6,IT Services & Consulting,Chennai +56 other locations,47200,717,108,5700
Sun Pharmaceutical Industries,4,Pharma,Vadodara +220 other locations,21700,387,152,5700
JSW Steel,3.9,Iron & Steel,Ballari +157 other locations,26200,569,80,5600
ITC,3.9,FMCG,Bangalore / Bengaluru +330 other locations,22300,544,24,5500
Indian Army,4.7,Defence & Aerospace,New Delhi +342 other locations,9800,149,130,5400
HCL Group,3.6,IT Services & Consulting,Chennai +84 other locations,51700,448,1,5400
FIS,3.9,FinTech,Pune +50 other locations,37800,478,200,5400
KPMG India,3.5,Management Consulting,Bangalore / Bengaluru +92 other locations,51600,798,985,5300
